wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q214861,Hartsfield–Jackson Atlanta International Airport,airports,Point(-84.428055555 33.636666666),http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta%20Hartsfield-Jackson.jpg,United States,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,136
Q8731,Los Angeles International Airport,airports,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,136
Q213717,O'Hare International Airport,airports,Point(-87.904722222 41.978611111),http://commons.wikimedia.org/wiki/Special:FilePath/O%27Hare%20International%20Airport%20%28USGS%29.png,United States,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,134
Q319654,LaGuardia Airport,airports,Point(-73.875 40.775),http://commons.wikimedia.org/wiki/Special:FilePath/LaGuardia%20Airport.JPG,United States,https://en.wikipedia.org/wiki/LaGuardia_Airport,116
Q8688,San Francisco International Airport,airports,Point(-122.375 37.618888888),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20San%20Francisco%20International%20Airport%202010.jpg,United States,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,116
Q188698,Kīlauea,volcanoes,Point(-155.286762 19.421097),http://commons.wikimedia.org/wiki/Special:FilePath/Kilauea%20-%20Landsat%20mosaic.jpg,United States,https://en.wikipedia.org/wiki/K%C4%ABlauea,128
Q859354,Lassen Peak,volcanoes,Point(-121.505 40.488055555),http://commons.wikimedia.org/wiki/Special:FilePath/Lassen%20Peak%20in%20June%202020.jpg,United States,https://en.wikipedia.org/wiki/Lassen_Peak,99
Q131230,Mauna Kea,volcanoes,Point(-155.468055555 19.820555555),http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Kea10.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Kea,87
Q4675,Q4675,volcanoes,Point(-122.189444444 46.200277777),http://commons.wikimedia.org/wiki/Special:FilePath/State%20Route%20504%20eastbound%20approaching%20Mount%20St.%20Helens%20near%20Castle%20Lake.jpg,United States,https://en.wikipedia.org/wiki/Mount_St._Helens,82
Q159762,Mauna Loa,volcanoes,Point(-155.6 19.483333333),http://commons.wikimedia.org/wiki/Special:FilePath/Mauna%20Loa.jpg,United States,https://en.wikipedia.org/wiki/Mauna_Loa,77
Q118388,Death Valley,deserts,Point(-116.865280555 36.456938888),http://commons.wikimedia.org/wiki/Special:FilePath/Badwater%20Desolation.jpg,United States,https://en.wikipedia.org/wiki/Death_Valley,79
Q184355,Mojave Desert,deserts,Point(-115.475 35.008333333),http://commons.wikimedia.org/wiki/Special:FilePath/Calico%20basin%20red%20rock%20cumulus%20mediocris.jpg,United States,https://en.wikipedia.org/wiki/Mojave_Desert,70
Q189429,Sonoran Desert,deserts,Point(-112.926111111 32.26),http://commons.wikimedia.org/wiki/Special:FilePath/AguaFriaNM%20%28cropped%29.jpeg,United States,https://en.wikipedia.org/wiki/Sonoran_Desert,67
